specimen,box,burial,culture,period,labcode,14C,±,status,d13C,d15N,C:N,,,,,,,
ILH_Zvejnieki_34.109.220,34-109,220,Comb Ware,MN,OxA-41218,5227,23,UNPUBLISHED,-21,13.2,3.2,,,,,,,
ILH_Zvejnieki_34.110.221,34-110,221,Comb Ware,MN,Ua-19813,5180,65,PUBLISHED,-21.3,12.7,3.5,,,,,,,
ILH_Zvejnieki_34.111.222,34-111,222,Comb Ware,MN,OxA-41219,5344,23,UNPUBLISHED,-23.6,12.5,3.2,,,,,,,
,34-112,226,,,,,,,,,,,,,,,,
,34-113,226,,,,,,,,,,,,,,,,
,34-114,227,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.115.228,34-115,228,Comb Ware,MN,Ua-19809,5090,55,PUBLISHED,-24,12.1,3.1,,,,,,,
ILH_Zvejnieki_34.116.229,34-116,229,,,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.117.233,34-117,233,Comb Ware,,OxA-41222,5094,22,UNPUBLISHED,-24.2,12.5,3.4,,,,,,,
ILH_Zvejnieki_34.118.234,34-118,234,Comb Ware,MN,OxA-44637,5291,23,UNPUBLISHED,-22.2,11.7,3.2,,,,,,,
ILH_Zvejnieki_34.119.235,34-119,235,,,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.120.236,34-120,236,Comb Ware,MN,OxA-44638,4979,22,UNPUBLISHED,-22.3,12,3.3,,,,,,,
,34-121,239,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.122.240,34-122,240,Narva,LM/EN,OxA-43374,6669,23,UNPUBLISHED,-23.3,13.5,3.3,,,,,,,
ILH_Zvejnieki_34.122.241,34-122,241,Narva,LM/EN,OxA-X-3228-31,6189,46,UNPUBLISHED,-24.7,,3.4,,,,,,,
ILH_Zvejnieki_34.123.242,34-123,242,Comb Ware,MN,OxA-43375,4649,21,UNPUBLISHED,-22.5,13.2,3.4,,,,,,,
ILH_Zvejnieki_34.124.243,34-124,243,Comb Ware,MN,OxA-43376,5015,21,UNPUBLISHED,-23.5,13.2,3.2,,,,,,,
ILH_Zvejnieki_34.125.244,34-125,244,Comb Ware,MN,OxA-X-3229-31,5391,22,UNPUBLISHED,-22.9,,3.2,,,,,,,
ILH_Zvejnieki_34.126.246,34-126,246,,,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.126.248,34-126,248,Comb Ware,MN,OxA-40907,5905,24,UNPUBLISHED,-18.8,13.4,3.3,,,,,,,
ILH_Zvejnieki_34.127.250,34-127,250,,,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.128.251,34-128,251,Narva,LM/EN,OxA-5987,6195,60,PUBLISHED,-23.8,11.8,3.3,,,,,,,
ILH_Zvejnieki_34.130.252,34-130,252,Comb Ware,MN,OxA-5988,5410,90,PUBLISHED,-23.1,13.1,3.29,,,,,,,
,34-131,253,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.132.254,34-132,254,Comb Ware,MN,OxA-44369,5271,23,UNPUBLISHED,-22.9,12.6,3.3,,,,,,,
ILH_Zvejnieki_34.133.255,34-133,255,Comb Ware,MN,OxA-44192,5220,25,UNPUBLISHED,-23.3,12.3,3.2,,,,,,,
ILH_Zvejnieki_34.134.256,34-134,256,Comb Ware,MN,Hela-1213,5320,45,PUBLISHED,-23.2,12.9,3.2,,,,,,,
,34-135,258,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.136.259,34-136,259,Comb Ware,MN,OxA-X-3229-33,5176,22,UNPUBLISHED,-22.6,,3.25,,,,,,,
,34-137,260,,,,,,,,,,,,,,,,
,34-138,261,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.139.263,34-139,263,Comb Ware,MN,"OxA-43378,9",5391,16,UNPUBLISHED,-22.8,13.4,3.2,,,,,,,
,34-140,264,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.141.265,34-141,265,Comb Ware,MN,OxA-44471,4980,22,UNPUBLISHED,-18.5,15.1,3.1,,,,,,,
ILH_Zvejnieki_34.142.266,34-142,266,Comb Ware,MN,OxA-X-3228-32,4882,44,UNPUBLISHED,-23.8,,3.4,,,,,,,
,34-143,267,,,,,,,,,,,,,,,,
,34-144,268,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.145.269,34-145,269,Comb Ware,MN,OxA-44640,4706,21,UNPUBLISHED,-17,13.5,3.1,,,,,,,CHECK ISOTOPE VALUES
ILH_Zvejnieki_34.146.271,34-146,271,Comb Ware,MN,OxA-41223,5158,22,UNPUBLISHED,-23.2,12.7,3.3,,,,,,,
,34-147,273,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.148.274,34-148,274,Comb Ware,MN,OxA-41225,5299,23,UNPUBLISHED,-23.3,12.9,3.3,,,,,,,
,34-149,275,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.150.276,34-150,276,Comb Ware,MN,OxA-41227,5355,22,UNPUBLISHED,-22.6,13.1,3.1,,,,,,,
,34-91,277,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.151.278,34-151,278,Comb Ware,MN,PSUAMS-2232,5210,30,PUBLISHED,,,,,,,,,,
ILH_Zvejnieki_34.152.279,34-152,279,Comb Ware,MN,NO DATE,,,,,,,,,,,,,
,34-152,280,,,,,,,,,,,,,,,,
,34-153,281,,,,,,,,,,,,,,,,
,34-154,282,,,,,,,,,,,,,,,,
,34-154,283,,,,,,,,,,,,,,,,
,34-155,284,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.156.285,34-156,285,,MN,NO DATE,,,,,,,,,,,,,
,34-157,286,,,,,,,,,,,,,,,,
,34-158,287,,,,,,,,,,,,,,,,
,34-159,288,,,,,,,,,,,,,,,,
,34-160,289,,,,,,,,,,,,,,,,
,34-161,291,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.161.292,34-161,292,Comb Ware,MN,OxA-41217,5037,23,UNPUBLISHED,-23.1,11.7,3.3,,,,,,,
ILH_Zvejnieki_34.162.293,34-162,293,Comb Ware,MN,OxA-41071,5433,24,UNPUBLISHED,-23.1,12.2,3.3,,,,,,,
ILH_Zvejnieki_34.163.294,34-163,294,Comb Ware,MN,OxA-40909,5233,23,UNPUBLISHED,-23.2,11.2,3.2,,,,,,,
,34-164,296,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.165.297,34-165,297,Narva,LM/EN,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.166.298,34-166,298,Comb Ware,MN,OxA-45427,5411,23,UNPUBLISHED,-23.33,13.57,3.4,,,,,,,
ILH_Zvejnieki_34.167.300,34-167,300,Comb Ware,MN,Ua-3642,5690,45,PUBLISHED,-22.8,,,,,,,,,
ILH_Zvejnieki_34.168.301,34-168,301,Comb Ware,MN,OxA-41072,5591,23,UNPUBLISHED,-24.5,13.7,3.4,,,,,,,
,34-169,302,,,,,,,,,,,,,,,,
,34-170,303,,,,,,,,,,,,,,,,
,34-171,304,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.172.305,34-172,305,Kunda,MM,Ua-3634 ,8240,70,PUBLISHED,-22.4,14.4,3.3,,,,,,,
ILH_Zvejnieki_34.173.307,34-173,307,Narva,LM/EN,OxA-43397,6828,26,UNPUBLISHED,-23.6,11.9,3.3,,,,,,,
ILH_Zvejnieki_34.173.308,34-173,308,Narva,LM/EN,OxA-44297,6980,28,UNPUBLISHED,-23,10.6,3.1,,,,,,,
,34-106,311,,,,,,,,,,,,,,,,
,34-107,312,,,,,,,,,,,,,,,,
,34-108,313,,,,,,,,,,,,,,,,
,34-109,313,,,,,,,,,,,,,,,,
,34-110,315,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.111.316,34-111,316,Comb Ware,MN,LuS-8217,5285,55,PUBLISHED,-21.4,13.8,,,,,,,,
ILH_Zvejnieki_34.112.317,34-112,317,Comb Ware,MN,LuS-8216,5105,50,PUBLISHED,-22.3,14.2,,,,,,,,
,34-113,318,,,,,,,,,,,,,,,,
,34-114,319,,,,,,,,,,,,,,,,
,34-114,320,,,,,,,,,,,,,,,,
,34-115,321,,,,,,,,,,,,,,,,
,34-116,322,,,,,,,,,,,,,,,,
,34-117,325,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.118.328,34-118,328,Comb Ware,MN,LuS-8834,5805,50,PUBLISHED,-24.5,13.2,3.2,,,,,,,
,34-59,137a,,,,,,,,,,,,,,,,
,34-174,Bez Nr,,,,,,,,,,,,,,,,
,34-175,UNK,,,,,,,,,,,,,,,,
,34-177,315,,,,,,,,,,,,,,,,
,UNK,UNK,,,,,,,,,,,,,,,,
,UNK,311k,,,,,,,,,,,,,,,,
,UNK,UNK,,,,,,,,,,,,,,,,
